FILE_NAME,GLOBAL_EQ CENTER L*,GLOBAL_EQ CENTER A*,GLOBAL_EQ CENTER B*,GLOBAL_EQ FPC L*,GLOBAL_EQ FPC A*,GLOBAL_EQ FPC B*,GLOBAL_EQ R^2
jj-1-mask,59.80729365,3.187449354,-14.8086248,-0.985205643,0.011755532,-0.170972655,0.95249723
jj-2-mask,70.84621221,3.244155973,-12.43218382,0.97950759,0.006515895,0.201301824,0.9634187
sc-1-mask,35.03162788,-3.916662289,0.310577841,-0.99417771,-0.107197717,0.010923861,0.936473707
sc-2-mask,55.11064841,-6.912510184,12.00690061,0.995525996,0.053679143,-0.077759507,0.887556524
sc-3-mask,67.84569059,-3.753182245,3.568317994,0.978858822,0.167625023,-0.117206049,0.946773695
sc-4-mask,42.734466,-7.074907152,7.951982056,0.966785968,0.181792882,-0.179655893,0.923541252
sf-1-mask,59.96295805,-3.84120051,-16.96210876,0.807753524,0.198904037,0.554951735,0.709137704
sf-2-mask,59.37678162,-0.928301296,-3.283516842,-0.998505635,-0.021816422,-0.050105293,0.916190124
sf-3-mask,42.35965139,-1.652958229,-2.450881762,0.988726736,0.05387226,0.139704048,0.985141359
sf-4-mask,38.10549865,-3.029803641,-2.523041304,0.973547468,0.090543987,0.209778725,0.954956511
sf-5-mask,62.5258941,-1.725033593,1.874524734,0.845365159,0.090495764,-0.526467725,0.708111297
sf-6-mask,77.37288818,-9.107891874,-12.02482752,-0.988031537,0.125066893,0.090288167,0.874973889
sf-7-mask,56.65472913,-6.603722162,-7.030369553,0.313016943,0.209170264,-0.926427652,0.527662442
sf-8-mask,52.26804351,-2.394055512,-23.4099759,-0.880867634,0.083090672,0.466013038,0.553974375
sf-9-mask,38.33503243,-4.863773209,-0.949898256,0.995752919,0.02437967,-0.088779254,0.800391021
sf-10-mask,17.33350413,-1.011789991,4.567023264,-0.999995053,0.000750381,-0.00305475,0.941938515
sf-11-mask,50.4734702,-8.378981071,-10.12414372,-0.950523528,0.09684324,0.295171831,0.860777958
sf-12-mask,54.49587276,0,0,1,0,0,1
sf-13-mask,70.51253938,-8.119813998,-12.58913354,0.946200318,0.085522822,0.312075,0.620694421
sf-14-mask,56.39199638,-16.64129681,-12.4413389,-0.875105966,-0.440742198,0.199839592,0.712216141
ys-4-mask,52.97910423,-3.769560932,-6.669685011,-0.998253173,0.014424402,0.057293446,0.944624661
