FILE_NAME,GLOBAL_EQ R^2,GLOBAL_W R^2
jj-1-mask,0.95249723,0.955873672
jj-2-mask,0.9634187,0.972825523
sc-1-mask,0.936473707,0.936975156
sc-2-mask,0.887556524,0.881008892
sc-3-mask,0.946773695,0.953220134
sc-4-mask,0.923541252,0.930062842
sf-1-mask,0.709137704,0.723747477
sf-2-mask,0.916190124,0.912027958
sf-3-mask,0.985141359,0.98595909
sf-4-mask,0.954956511,0.95897065
sf-5-mask,0.708111297,0.729216826
sf-6-mask,0.874973889,0.688585877
sf-7-mask,0.527662442,0.574430557
sf-8-mask,0.553974375,0.587179702
sf-9-mask,0.800391021,0.825170438
sf-10-mask,0.941938515,0.94250433
sf-11-mask,0.860777958,0.862220705
sf-12-mask,1,1
sf-13-mask,0.620694421,0.673846606
sf-14-mask,0.712216141,0.75368
ys-4-mask,0.944624661,0.947847422
